Title,Category,Content
Why Demi Moore’s Custom McQueen Gown at the 2025 BAFTAs Was a Perfect Choice,Red Carpet,"Creative director Seán McGirr recently told British Vogue that he wants his Alexander McQueen to be about youthful energy and “the animal within.” Which makes the Irish designer’s work a particularly apposite choice for Demi Moore, star of The Substance, in which a younger version of her character, Elisabeth Sparkle, literally bursts forth from her flesh in scenes gorier than any wildlife documentary. Moore, who is in the running for the Leading Actress BAFTA for her performance in the film, arrived at the 2025 ceremony tonight wearing a glittering halter-neck gown, featuring a graphic design. Evidently a fan of McGirr’s work, the star previously wore a shimmering black gown from his spring 2025 Alexander McQueen collection on the red carpet back in November. Demi has emerged as the toast of awards season, having already scooped a Golden Globe last month, her first major win (indeed her first nomination, as she noted in her acceptance speech) in some 45 years in the movie business. An emotional Moore, who described how she’d gotten used to being written off as a “popcorn actress” despite having one of the most enduring careers in Hollywood, told the crowd on the night that she was celebrating “being reminded that I do belong.” If she’s had to wait a while for recognition from her peers, Demi, who collected that Golden Globe in a shimmering strapless Armani Privé gown, has never been short of fashion plaudits. While she was crafting her own looks for her earliest red carpet appearances, at 62 she’s a regular on the front row (frequently accompanied by her almost equally feted pet dog, Pilaf), and she’s been known to appear on the runway, too. When Kim Jones was preparing to unveil his debut Fendi Haute Couture collection at the Palais Brongniart back in 2021, he cast supermodels Kate Moss, Christy Turlington and Naomi Campbell, but it was Demi he tasked with opening the show. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Gen Z Deserves an Hervé Léger Bandage Dress Revival,High Fashion,"When Kaia Gerber attended the Toronto International Film Festival premiere of her film Shell, she sought out a designer who isn’t as common on the red carpet nowadays: Hervé Léger. The model wore a white full-length bandage dress, a recreation of her mother Cindy Crawford’s 1993 Oscars look. “Kaia had sent me a mood board for TIFF and this was one of her references,” Molly Dickson, who styled Gerber for the event, told Vogue. While Gerber was paying homage to her supermodel mom, it did give the label a moment in the sun for a new generation. Even for the eldest Gen Z-ers, the French brand’s trademark bodycon silhouette felt out of reach, falling out of fashion before we reached an appropriate age to wear them. “Hervé Léger is the ’90s supermodel second-skin,” Liana Satenstein, host of Neverworns and former Vogue writer says of the dress’s appeal. And, as she wrote in 2022, “an Hervé bandage dress acts as a bra for your whole body—holding you perfectly in place.” Rihanna at the 2007 Clive Davis Pre-Grammys Party. Blake Lively as Serena van der Woodsen on Gossip Girl, 2009. The dress persisted beyond the ’90s supermodel era, reaching the early days of Kardashian fame, teen soap operas, and Transformer movies. As my Millennial colleagues regale the Gen Z staffers with tales about hitting the club in a form-fitting Hervé Léger number, I can’t help but feel a pang of FOMO. But beyond Gerber, it seems that the younger generation is bandage dress-curious. On TikTok, young people who missed the boat last time around are creating a new wave of interest. One video with over 116,000 likes reads, “pov: your [sic] born in 2001 but now your [sic] old enough to own a herve leger dress.” Another proclaimed she was “feeling soooo serena van der woodsen,” referring to a dress that Blake Lively wore on Gossip Girl. With a cycle of nostalgia-driven trends, it’s no surprise that the bandage dress would reincarnate. “Today, there is an overwhelming sensual mood in the air and a thirst for going out,” Satenstein says. During a recent live shopping installment of Neverworns, she included a rainbow gradient dress with white piping by Léger, which she says “felt right for the world.” It was purchased before the evening was over. My colleague Margaux Anbouba, Vogue’s senior beauty and wellness editor, told me of her bandage dress days, “Hervé Léger saw me through some of my brightest and boldest moments of the aughts. At the time, I don’t think I had ever felt more powerful than when I put on a bandage dress—the sucked in sausage casing effect was perfect for my favorite pastime of that era, dancing in the club.” May the members of Gen Z get to experience that same joy that only a bandage dress can provide. Jennifer Lawrence Adds Dad Shoes to Her Maternity Wardrobe Why Does Everyone Have a Belted Bag Now? Kim Kardashian’s Dress Is More Skin and Mesh Than Actual Dress What Is the Difference Between Bootcut and Flare Jeans? Sign up for Vogue Shopping to receive the insider’s guide to what to shop and how to wear it Listen to The Run-Through with Vogue, a weekly podcast featuring the most exciting stories and hot takes from the worlds of culture, politics, sports and–of course–fashion Never miss a Vogue moment and get unlimited digital access for just $2 $1 per month. The Vogue Runway app has expanded! Update to the latest version to see all Vogue content, as well as new features like our Runway Genius quiz, Group Chats, and posts from Vogue contributors. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Forget the Naked Dress—Jennie Brings a Naked Cape to Couture Week,High Fashion,"Is there a more star-studded show during couture week than Chanel? Arguable! Every season, the French label draws an A-list crowd of attendees, and this morning’s presentation at the Grand Palais was certainly no different. Celebrities in the front row included Dua Lipa, Lily Rose-Depp, Kylie Jenner, Pamela Anderson, and Jennie—talk about a VIP crowd! Of course, each star was sure to slip into their finest Chanel looks for the occasion (couture week is all about extravagance, after all). However, it was Jennie who stole the show with her chic powder-blue cape and trousers styling. And her daring look nodded to one of the biggest fashion movements of the moment. Over the past year, the naked dress—silhouettes that are totally sheer, exposing the form underneath–have taken over the red carpets. Celebrities have been unafraid to show some skin, and Jennie’s styling of the cape—worn without a top underneath, safe for a tasteful body chain—nodded to the trend in an elegant way, especially when styled with black dress pants. Clearly, the naked trend is not leaving us anytime soon, but Jennie’s elevated treatment of the look shows promise for a 2025 evolution. Perhaps this year will be less about the all-exposing gown, and more about giving structured pieces—jackets, capes, blazers—a sexier spin by forgoing a shirt with them. Prepare yourself for the fashion movement, because when Jennie embraces something, it usually takes off rather quickly. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
In Perfect Step: A Maison Margiela and Christian Louboutin Collaboration Inspired By One Magical Collection,High Fashion,"Christian Louboutin first remembers John Galliano 40 years ago, making his first, tentative steps in Paris, the city of dreams, the city of fashion. “He was an excited English fashion student, but also very, very excited by Paris,” Louboutin recalls, “He was always saying, ‘I love Paris, and Paris loves me!’ And Paris really loved him.” John Galliano had rather despaired of his London life. The ’80s had been a glorious, carefree, wild decade, but those heady days were coming to an end. AIDS was rearing its terrible head, and heroin cast a pall. Fashion in London was tough. His backers withdrew their support. But Galliano knew that in Paris his fantasies would somehow become realities. There, he slept on friends’ sofas and ate beans on toast as he chased this elusive dream. Louboutin recalls that “he was a very joyful, happy person.” Galliano was swept up in the Paris world. And it treated him royally, for a time. But in spite of this love and their friendship, Louboutin and Galliano had never collaborated in a serious way before on a collection. Of course they had collaborated on individual models for specific clients (for instance, Louboutin did the shoes for Kate Moss’s 2011 wedding—the dress, a memorably 1930s fairy tale by John Galliano for Margiela). The Maison Margiela x Christian Louboutin collaboration. That is, until “one day I had lunch with John and Alexis [Roche, his partner], and he said, out of the blue, ‘Would you consider doing something with me?’ And immediately I said ‘Yes of course!’ John was very, very happy. And suddenly he was a shower of ideas. This was a milestone in his story because he was so, so, so, into it. He was drowned by it, and so excited and so precise, and so full of his creative energy.” Galliano “always loved shoes but he’s never made them,” as Louboutin explains, so he has assembled key figures who have brought their skills to the medium, “and I’m very happy and proud to be one of them,” adds Louboutin. “You know, it’s funny when you work. We worked almost a year ahead, and it was very complicated—because his clothes are incredibly complicated to do because of the faux cul [the false bottom] and so on. Everything was on a level of couture that is almost never reached.” Ultimately, the show was a triumph; a swansong for John Galliano’s extraordinary decade at Maison Margiela. “It was of a perfection,” says Louboutin, “that evening, with the drizzle under the bridge.” The show was held under the Pont Alexandre III bridge in Paris, where Galliano had conjured a sort of thread bare 1930s boite. It was a Brassai moment, with Pat McGrath’s extraordinary second skin, shining face masks. “Even if I was expecting something which was going to be great, I was not necessarily ready to have such a vision of such an impactful show. It’s one thing that you can expect from very, very few designers, and you can expect this from him,” says Louboutin. “The level of emotion involved in the show, not only in the clothes, but in the show itself: it was a really magical moment. You know, it's poetry and magic. Even just talking about it makes me emotional! It took 40 years of John Galliano to make me cry at a show,” remembers Louboutin. “…And the shoes!” So now, taking a deep breath after the show of shows, Louboutin has worked on a second collection for Maison Margiela, the silhouettes drawn from the show. They have outlined a few stores, “So they will be sold at Margiela and they will be sold at Louboutin!” he exults. “Ever since I've known John,” Louboutin continues, “he has a kind of passion for tribal clothes, [clothes] from plays, from dance, from Kabuki. His brain is built boiling around that anyway.” A look from the Maison Margiela spring 2024 couture—and Louboutin’s high heeled version of the Tabi. There are outrageous high heels, and foot-to-the-ground flats, all with the Tabi, the toe separator, off setting the glamour of the Louboutins. (Although it’s made in a whole new way, more couture and less homespun than the Margiela originals). There are also wedding shoes, with a twist. “The idea was almost like a game to play with the codes of two houses, Margiela and Louboutin. With Margiela you have deconstruction. I would call it ‘creative minimalism’ for Margiela. And for my DNA, it is almost a classical vision of femininity, a sexy femininity. So basically, for me to bring Margiela into my world."" So in a white high-heeled Tabi shoe with a streak of red paint down the heel, one can see the worlds of Margiela and Louboutin colliding. “I think it's probably the perfect marriage!” laughs Louboutin. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
27 of Rihanna’s Boldest Style Moments Throughout the Years,Red Carpet,"As far as fashion is concerned, Rihanna has always been ahead of the curve—able to dabble in trends in a genuinely fearless manner. Risk-taking is central to her style influence, and what better time to revisit her epic wardrobe than today, on her 37th birthday? Off-duty, Rihanna is a true fashion girl. By day, she's in tracksuit-stiletto combos, gargantuan puffer jackets, and killer thigh-high boots. By night, she’s often wearing similarly casual gear, with the added touch of some vintage jewelry (or lots of diamonds) and a designer coat. Uniting her day-to-night dressing? A sense of fun and excitement: Don’t ever expect the star to wear discrete everyday basics. Rih’s red carpet looks command attention, too, though. In the noughties, she rocked low-rise trousers, crop tops, and plentiful diamanté. In 2015, she made headlines with a sunshine-yellow Guo Pei gown at the Met Gala, and her 2017 Comme des Garçons dress and 2018 John Galliano headpiece also broke the internet. More recently, she attended the Fashion Awards in London—with A$AP Rocky by her side—sporting a a Christian Lacroix fall 2002 couture mini dress with the matching oversized fuzzy hat, naturally. In honor of her birthday, revisit Rihanna’s most head-turning looks, below. Rih was one of the first out the gate in Saint Laurent’s fuzzy heart coat back in 2016, shown at the maison’s fall 2016 showcase. Many stars have braved the naked dress—Rihanna included. She commanded attention in a sparkling Swarovski crystal-encrusted look by Adam Selman at the CFDA Awards in 2014. Comme des Garçons was behind the eccentric look that she wore to the Met Gala in 2017. The vibrant gown that she wore to the Met Gala in 2015 will go down in history as one of the best looks the event has ever witnessed. Rihanna attended her Diamond Ball—a bash that she throws every year—wearing Alexis Mabille couture and Chopard jewels in 2018. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
How To Get Rid Of Clothes Moths And Protect Your Wardrobe,Sustainable Fashion,"Products are independently selected by our editors. We may earn an affiliate commission from links. Moth-proofing your wardrobe is essential, if you don’t want the insects feeding on your most expensive cashmere knits and silk dresses. Clothes moths kill your investment pieces, and completely negates that big closet clean-out you did. While moth season tends to run from April to May, and then again from August to September, it’s become an issue throughout the U.S., thanks to rising temperatures. Not sure where to begin? Below, see Vogue’s top tips for preventing a moth infestation in your wardrobe—and how to tackle one if it’s already too late. Moths tend to be attracted to natural fibers like cashmere, silk, lambswool, shearling, and cotton because they feed on the protein keratin, the building block of these materials. Given that keratin also helps form human hair, skin, and nails, it’s crucial that you ensure your clothes are clean before you stow them away in your wardrobe. If you see a moth flying around your home, don’t fear. It’s not necessarily a clothes moth. The two main types that feed on your clothes in the United States—the webbing clothes moth (Tineola bisselliella) and the casemaking clothes moth (Tinea pellionella)—are small and difficult to see. The webbing clothes moth is identifiable from its golden color and around half an inch in length, while the casemaking clothes moth is pale, silvery gray-brown with dark spots, and fringed, hairy wings. Most people realize clothes moths have invaded their wardrobes when they see small holes in their knitwear or silk dresses. One option is to keep Pheromone super sticky glue traps, which attract the male moths, therefore removing them from the reproduction cycle, in your wardrobe or around your home. They also act as an indicator as to whether you have moths, or you can also use a moth box to monitor for a possible infestation. Moths eggs are tiny—usually between 0.5 to 1.5 millimeters in size—making them extremely difficult to see, but you might spot the webbing that larvae leave behind on your clothes. The life cycle of a moth is 65 to 90 days, with female moths laying up to 300 eggs each. This means your small moth problem can very quickly escalate. It’s the larvae that feast on natural fibers, not the adult moths which don’t actually have the ability to eat. Eggs will hatch after anything between four days and three weeks—in summer this process is faster than in winter. Yes—however it requires real commitment and dedication (and sometimes professional help) to get on top of an infestation. Once you have managed to do so, the key is to keep following the below steps to safeguard your wardrobe against clothes moths and prevent further infestations from happening again and again. Moths can enter your home through cracks, windows, and on new items of clothing, so just because you have got on top of your problem doesn’t mean they won’t return. Moths like undisturbed corners that are dark and warm. Remove everything from your wardrobe, vacuum all the corners and drawers, and wipe all your surfaces with a detergent-soaked cloth to kill off larvae. Then wash all of your clothes (and curtains and upholstery, too). Dry cleaning kills moth eggs and larvae, and is an excellent option for bulky items like coats. Freeze anything you can fit on your freezer shelves; sub-zero temperatures kill larvae, although make sure you put clothes in plastic bags prior to freezing to avoid a condensation build-up. Keep them in there for at least 48 hours, or up to a week if you can. Heat also kills larvae and eggs, however, hot temperatures can damage cashmere. To ensure you’ve got rid of all the larvae and eggs, Total Wardrobe Care’s Julia Dee explains that you can start by “applying natural moth-killing products, such as chrysanthemum-based sprays.” This will prevent any more moths hatching, so you don’t go back to square one. A moth infestation can cause thousands of pounds worth of damage depending on the clothes you have in your wardrobe, and so bringing in the professionals to fumigate your house if the problem is significant is often worth the investment. Moths love to feast on human sweat, food particles, and stains. Do not put any clothes back in your newly cleaned wardrobe that are dirty—especially knitwear or natural fibers. As well as laundering your clothes, ensure that your wardrobe and drawers are also clean. “Regularly wipe down surfaces with soapy water and thoroughly vacuum cracks and crevices to remove any larvae or eggs,” Dee recommends. Moths hate light and movement, so this can also help disturb them. Always store winter knits, coats, and any other items you particularly value in zipped garment bags (like knitwear and cashmere bags), and line the bags with anti-moth paper strips. Line your drawers in anti-moth paper, and deploy cedarwood blocks. Vintage clothes should always be dry cleaned or put in the freezer before being introduced to your wardrobe, as they are often the source of infestations. Moths hate them, and they’ll keep the shoulders on your dresses and jackets neat, too. Always take your clothes out of the plastic hanging bags from the dry cleaner. The plastic attracts dust, and the dust attracts moths. Keep checking your clothes for moth holes, keep rooms well-ventilated as temperatures start to rise, and keep a natural oil diffuser in your wardrobe at all times—it smells great and wards off moths. Moth cassettes are also a good precautionary measure, and you can keep them hanging on your rail at all times. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Victoria Beckham’s Transparent Heels Come With a Medical Warning,High Fashion,"Brave is the woman in a transparent heel bearing the human foot in all its anatomical nakedness. These are difficult shoes to make work (a sort of non-item anchoring an outfit to nothing), which, as anyone who lived through 2016 knows, will also function as a terrarium, in which varying bacteria flourish no matter the podiatric preening involved beforehand. There are few people willing to let their dogs out in public, and even fewer of us who want to see them collecting condensation in the process. And yet Victoria Beckham looked good in the ones she wore to the launch of David’s Boss campaign last night: a pair of her own spring 2025 iterations, crafted from PVC and attached to a lucite Cinderella heel, which she styled with a knitted skirt set just gauzy enough to hint at full-body impropriety. The designer’s been wearing several versions of this less-is-more stiletto for a while, sidestepping her reliable Balenciaga pantaboots for Alaïa’s Cœur pumps at Paris Fashion Week and Saint Laurent’s Chica slingbacks to lecture the students of Condé Nast College. But a warning to those who are thinking of following suit: “The foot by itself [without a sock] in a shoe, plastic or not, provides a perfect milieu for fungal growth,” Dr. Rock Positano, director of the non-surgical foot and ankle service at the Hospital for Special Surgery in New York, told Vogue’s Liana Satenstein back in 2018. “It is moist, dark and there is heat. The combination of those three things make a foot inside a shoe a dangerous place.” Isn’t danger just another way of saying… “temptation?” Jennifer Lawrence Adds Dad Shoes to Her Maternity Wardrobe Why Does Everyone Have a Belted Bag Now? Kim Kardashian’s Dress Is More Skin and Mesh Than Actual Dress What Is the Difference Between Bootcut and Flare Jeans? Sign up for Vogue Shopping to receive the insider’s guide to what to shop and how to wear it Listen to The Run-Through with Vogue, a weekly podcast featuring the most exciting stories and hot takes from the worlds of culture, politics, sports and–of course–fashion Never miss a Vogue moment and get unlimited digital access for just $2 $1 per month. The Vogue Runway app has expanded! Update to the latest version to see all Vogue content, as well as new features like our Runway Genius quiz, Group Chats, and posts from Vogue contributors. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Timothée Chalamet Wears Florals With a Twist for Date Night,Streetwear,"Florals, for Valentine’s? Not very groundbreaking, but when it’s a Prada bouquet print in highlighter green on Timothée Chalamet? Romance! Yesterday (February 11), Chalamet attended the Santa Barbara International Film Festival, where he was being honored with the Arlington Artist Of The Year Award for his roles in A Complete Unknown and Dune: Part Two. Girlfriend Kylie Jenner was present to support, making the evening into a date night for the pair. Chalamet’s cotton shirt features a lively floral scene in lime green, yellow and white, taken from Prada’s archive of prints, with tapered cuffs and a collar, finished with mother of pearl buttons. Styled by Taylor McNeill, Chalamet wore a grass green tank top underneath, a silver chain, loose faded denim jeans (forgoing the bootcut shape originally meant for him, that McNeill put on Kendrick Lamar for his Super Bowl performance), and his favorite white sneakers. The mustache, too, lives on, and he’s trimmed his hair into more of a pixie cut. Chalamet also took to the stage for a conversation with Dune co-star Josh Brolin. Date night style varies for Chalamet and Jenner, following more their own individual style codes rather than the sartorial contours of their respective partner. When they were photographed out for dinner in Paris, Chalamet wore Chanel fresh from the A Complete Unknown premiere. His current wardrobe consists of Martine Rose and an array of small New York designers in a nod to his home city. Jenner opts for her own label KHY, Chanel tweed, and bombshell silhouettes. Timothée Chalamet’s awards campaign wardrobe has been somewhat chaotic, cycling through Bob Dylan method dressing, smart vintage picks, and pal Haider Ackermann’s iteration of Celine—with a continued allegiance to the skinny scarf trend. This romantic Prada feels, at least, on theme. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
“Les Siciliennes Are Going to Paris”—Inside Dolce & Gabbana’s Impromptu Alta Moda Show,High Fashion,"Fresh of the opening of their exhibition Du Coeur à la Main—which traces the magnificence of 10 years of their Alta Moda creations in the salons of the Grand Palais —Stefano Gabbana and Domenico Dolce staged a défilé on the eve of couture week in Paris. It served as a sort of crowning touch, much like the finishing flourish on a Sicilian cassata, the traditional cake with icing that mirrors the pastel swirls of Palermo’s Baroque palazzos. “Les Siciliennes are going to Paris,” the designers said during a preview. By the opulent standards of their Dolce & Gabbana Alta Moda presentations—which typically involve several days of extravagant guest entertaining in Italian locations—the show was a more pared-down affair. Yet, held in the lavishly restored Hôtel de la Marine, it still highlighted their impressive range, offering a tour-de-force exploration of the many dimensions of their fétiche color—black. The enigmatic mystique of Sicilian culture lies at the heart of Stefano and Domenico’s oeuvre. The sacred and the profane, religious devotion and sensuality, simmering passion shrouded in a veil of composure and silence —these dramatic contrasts have shaped their repertoire from the outset, nearly 40 years ago. “We wanted to bring the authentic essence of who we are to Paris, the love for our homeland that is central to our work,” they explained. Quintessentially Italian, the show nonetheless read as their homage to La Ville Lumière and its haute couture tradition. “Showing here is a dream come true,” they shared. “We are deeply grateful and honored because we don’t see ourselves as couturiers, but as sarti, tailors with a passion for the beauty of the fatto a mano, the art of handmade craftsmanship. Sicily and Paris share a deep historical connection,” they explained. Although the French ruled the Kingdom of Sicily only briefly in the early 14th century, their influence left a lasting imprint on the region’s culture and way of life. Even today, traces of French can be found in the local dialect; the Palermitan aristocracy once spoke fluent French and frequently sent their chefs to Paris to master the art of haute cuisine. “To stand out against the unmatched Parisian flair for haute couture, the only option was to stay true to ourselves,” they reflected. And so, the Alta Moda Parigi collection was steeped in black as a counterpoint to the chic of the French capital: “Black is the ultimate symbol of Sicilian elegance, solemn yet extravagant, pure and alluring.” A “devotional procession from Palermo to the Ville Lumière,” the show unfolded as a reimagining of their most seductive best-ofs, embellished with intricate lace embroidery, encrustations, cut-outs, inlays, and Baroque golden appliqué, as well as boasting diverse silhouettes, from slender to sensuous to lavishly voluminous. It was a parade of somber black widows carrying rosaries and gold crosses pinned on cinched-waist belts, alluring femme fatales wrapped in embellished cocoons and theatrical capes, and coquettish ingénues, sporting corsets, lingerie, and fishnet stockings only barely veiled under sheer showstoppers. Attended mostly by devoted Dolce & Gabbana’s Alta Moda clients dressed to the nines in the designers’ latest creations, the show was followed by a lavish dinner at the Ritz, where Carla Bruni-Sarkozy, Catherine Deneuve, Eva Herzigova, and Monica Bellucci, with boyfriend Tim Burton in tow, fêted the designers, who cheerfully mingled late into the night. One of the key looks from the Dolce & Gabbana Alta Moda show. One of the key looks from the Dolce & Gabbana Alta Moda show. One of the key looks from the Dolce & Gabbana Alta Moda show. One of the key looks from the Dolce & Gabbana Alta Moda show. One of the key looks from the Dolce & Gabbana Alta Moda show. One of the key looks from the Dolce & Gabbana Alta Moda show. One of the key looks from the Dolce & Gabbana Alta Moda show. One of the key looks from the Dolce & Gabbana Alta Moda show. One of the key looks from the Dolce & Gabbana Alta Moda show. One of the key looks from the Dolce & Gabbana Alta Moda show. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Revisiting Kate Middleton’s BAFTA Gowns Through the Years,Red Carpet,"Rumour has it that Kate Middleton will be present and correct at this year’s BAFTAs, although Kensington Palace has yet to formally confirm her presence at Royal Festival Hall on the night. If the Princess of Wales does make her red carpet return, expect her look to be a relatively subdued one (and, most likely, a repeat wear) given her recent push to shift the public’s focus from her clothes to her work. The senior royal has, after all, been recycling gowns at black-tie events for years. Ahead of the ceremony on February 16, revisit all of her BAFTA appearances so far, below. For her most recent appearance at the BAFTAs, the Princess of Wales recycled her Alexander McQueen gown from the 2019 ceremony, pairing it with elbow-length gloves, an added chiffon sleeve, and a pair of Zara earrings. 2023 was a significant year for the awards, with the ceremony held at the Southbank Centre’s Royal Festival Hall for the first time. However, changes to the show format were overshadowed by a lack of progress regarding diversity on the night. The academy provided all guests at the 2020 BAFTAs—one of the last major events before the pandemic sent the world into lockdown—with a sustainable dressing guide courtesy of the London College of Fashion. The Duchess of Cambridge acknowledged the theme by dipping into her Alexander McQueen archive, choosing to rewear a dress from her 2012 tour of Southeast Asia in honor of the Queen’s Diamond Jubilee. A custom design by Sarah Burton, its cream fabric is overlaid with a hibiscus flower print—a nod to Malaysia’s national flower, as Kate first wore the dress to meet the country’s own royal family. In terms of jewelry, the Duchess selected a mother-of-pearl necklace and earrings from Van Cleef & Arpels’s Magic Alhambra collection for the night. For the 2019 BAFTAs, the Duchess of Cambridge selected a one-shouldered Alexander McQueen gown with floral embellishments. She had appeared in a similar dress in a rose colorway for the then Prince of Wales’s 70th birthday a few months earlier. It’s her jewelry, however, that predictably garnered headlines. Kate chose a pair of drop earrings inherited from Diana, Princess of Wales, featuring diamonds and South Sea pearls. Poignantly, the late royal wore the jewels to her last official engagement—a performance of Swan Lake at the Royal Albert Hall in 1997. The 2018 BAFTAs will be remembered as a watershed moment in the Me Too movement, with Sisters Uncut storming the red carpet to protest the terms of then Prime Minister Theresa May’s domestic violence and abuse bill. While the vast majority of female attendees wore black in a nod to Time’s Up, the Duchess of Cambridge opted for a politically neutral flowing dark-green gown by Jenny Packham, with a black sash tied above her pregnancy bump. She then accessorized her dress with a suite of emerald jewelry—emeralds being associated with hope and renewal, as well as the suffragette movement. For her 2017 BAFTAs debut, the Duchess of Cambridge turned again to Alexander McQueen, wearing a tiered off-the-shoulder gown embroidered with pale flowers—a custom take on a look from the brand’s spring 2016 resort collection—with diamond chandelier earrings. Kate later wore a variation on the same dress to an event at the National Portrait Gallery. Kate Middleton’s Wardrobe Spoke Volumes. What Will Happen Now That It’s Silenced? Meghan Markle Rebrands American Riviera Orchard Into The Tig-Inspired “As Ever” A Running List of Royal Baby Names—And Their Meanings The Best Books About the British Royal Family to Read Now Never miss a Vogue moment and get unlimited digital access for just $2 $1 per month. The Vogue Runway app has expanded! Update to the latest version to see all Vogue content, as well as new features like our Runway Genius quiz, Group Chats, and posts from Vogue contributors. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Statement Tights—and Socks!—Were the Real MVP of NYFW,High Fashion,"The fall 2025 shows at New York Fashion Week officially close out tomorrow, and the street style set has been out in their finest attire all week long; lots of peacocking! In case you missed it, Vogue’s Phil Oh has been documenting the best statement outfits in and outside of the shows—capturing how VIPs are dressing for the snow and slush in style. While artful layering and great coats have been spotted aplenty, there is a more stealthy wardrobe staple that has emerged as the real fashion MVP: Let’s hear it for tights and socks. Sure, a bright-colored tight or frilly sock may not seem like an instant outfit-maker, but this week, the accessories have elevated the street style set’s sprightly outfits from good to great. An animal-print jacket with a bright teal tight? Fun! An orange coat with argyle knee-highs? Fresh! In addition to keeping folks warm, tights and socks have also added a dash of personality and whimsy to winter looks. And the bold approach to wearing hosiery isn’t just happening off the runways: On the catwalks themselves, New York Fashion Week labels got into the spirit, too. Sandy Liang showed polka-dotted leggings underneath frilly skirts, while Anna Sui paired striped knee socks with striped knit mini skirts. You knows it’s a real trend with legs (pun intended) when both the runways and the crowds at the shows are partaking in the look. Out is the idea that socks or tights should be purely utilized for function, in is the reality that they can infuse a look with wow factor. Anna Sui fall 2025 Sandy Liang fall 2025 So, even if you weren’t in on the NYFW action this week, consider it a styling proposal to add fun hosiery to your winter wardrobe: Why slip on classic black or tights when you can inject an outfit with a great print or bold color instead? Do it, and a street style photographer may even track you down and ask for a photo. Well, one can at least fantasize. Below, more whimsical hosiery from New York Fashion Week. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
